"Index","CPI","GDP","Unemployment","Target.Rate"
"1997-02-01",90.1,1153.493,9.5,3
"1997-03-01",90.2,1153.375,9.3,3
"1997-04-01",90.2,1161.196,9.4,3
"1997-05-01",90.2,1165.328,9.4,3
"1997-06-01",90.3,1167.533,9.1,3
"1997-07-01",90.4,1180.084,8.9,3.25
"1997-08-01",90.6,1181.545,8.9,3.25
"1997-09-01",90.6,1183.552,8.8,3.25
"1997-10-01",90.6,1188.123,8.9,3.5
"1997-11-01",90.5,1189.01,8.9,3.5
"1997-12-01",90.6,1199.78,8.5,3.75
"1998-01-01",91.1,1194.652,8.8,4.25
"1998-02-01",91.1,1206.119,8.6,4.75
"1998-03-01",91.1,1210.426,8.4,4.75
"1998-04-01",91,1211.089,8.3,4.75
"1998-05-01",91.1,1208.91,8.3,4.75
"1998-06-01",91.2,1208.629,8.4,4.75
"1998-07-01",91.2,1208.265,8.3,4.75
"1998-08-01",91.3,1219.916,8.1,4.75
"1998-09-01",91.1,1223.88,8.2,5.75
"1998-10-01",91.6,1229.462,8,5.5
"1998-11-01",91.6,1232.739,8,5.25
"1998-12-01",91.6,1244.188,8.1,5
"1999-01-01",91.8,1248.407,7.9,5
"1999-02-01",91.8,1254.446,7.9,5
"1999-03-01",92,1254.755,7.9,5
"1999-04-01",92.5,1263.262,8.2,4.75
"1999-05-01",92.6,1265.346,7.9,4.75
"1999-06-01",92.6,1274.003,7.6,4.5
"1999-07-01",92.8,1280.993,7.6,4.5
"1999-08-01",93.2,1287.461,7.4,4.5
"1999-09-01",93.5,1295.922,7.5,4.5
"1999-10-01",93.6,1299.607,7.2,4.5
"1999-11-01",93.7,1310.326,6.9,4.5
"1999-12-01",94,1318.934,6.8,4.75
"2000-01-01",94,1325.658,6.8,4.75
"2000-02-01",94.3,1325.888,6.9,4.75
"2000-03-01",94.8,1336.931,6.9,5
"2000-04-01",94.4,1335.504,6.7,5.25
"2000-05-01",94.7,1343.064,6.6,5.25
"2000-06-01",95.3,1348.065,6.7,5.75
"2000-07-01",95.6,1351.075,6.8,5.75
"2000-08-01",95.5,1356.048,7,5.75
"2000-09-01",95.9,1358.502,6.9,5.75
"2000-10-01",96.3,1361.067,7,5.75
"2000-11-01",96.8,1362.013,6.9,5.75
"2000-12-01",97,1365.443,6.8,5.75
"2001-01-01",96.8,1365.514,6.9,5.75
"2001-02-01",96.9,1365.069,7,5.5
"2001-03-01",97.1,1365.858,7.1,5.5
"2001-04-01",97.8,1364.619,7.1,5
"2001-05-01",98.4,1370.407,7,4.75
"2001-06-01",98.4,1369.24,7.2,4.5
"2001-07-01",98.1,1367.204,7.1,4.5
"2001-08-01",98.2,1371.749,7.2,4.25
"2001-09-01",98.4,1364.366,7.2,4
"2001-10-01",98.1,1370.585,7.3,3.5
"2001-11-01",97.4,1379.396,7.5,2.75
"2001-12-01",97.7,1377.902,8.1,2.25
"2002-01-01",98.1,1392.802,8,2.25
"2002-02-01",98.4,1400.429,8,2
"2002-03-01",98.8,1399.019,7.9,2
"2002-04-01",99.5,1408.942,7.7,2
"2002-05-01",99.4,1411.041,7.8,2.25
"2002-06-01",99.6,1412.654,7.6,2.25
"2002-07-01",100.3,1418.178,7.6,2.5
"2002-08-01",100.7,1423.503,7.4,2.75
"2002-09-01",100.8,1420.254,7.5,2.75
"2002-10-01",101.3,1428.81,7.6,2.75
"2002-11-01",101.6,1428.139,7.4,2.75
"2002-12-01",101.5,1423.817,7.5,2.75
"2003-01-01",102.4,1431.16,7.5,2.75
"2003-02-01",102.9,1434.888,7.5,2.75
"2003-03-01",103,1433.364,7.4,2.75
"2003-04-01",102.3,1428.575,7.6,3
"2003-05-01",102.1,1432.67,7.8,3.25
