DATE,TLNRESCONS
2005-01-01,464914
2005-02-01,472845
2005-03-01,474543
2005-04-01,477037
2005-05-01,484170
2005-06-01,483170
2005-07-01,484528
2005-08-01,489660
2005-09-01,495687
2005-10-01,496421
2005-11-01,501333
2005-12-01,508540
2006-01-01,514379
2006-02-01,521157
2006-03-01,530712
2006-04-01,536398
2006-05-01,540532
2006-06-01,550909
2006-07-01,553906
2006-08-01,555719
2006-09-01,556000
2006-10-01,555162
2006-11-01,566451
2006-12-01,583666
2007-01-01,593821
2007-02-01,600773
2007-03-01,611969
2007-04-01,619841
2007-05-01,640082
2007-06-01,649987
2007-07-01,651962
2007-08-01,670260
2007-09-01,685585
2007-10-01,697446
2007-11-01,693764
2007-12-01,691443
2008-01-01,701927
2008-02-01,703456
2008-03-01,705977
2008-04-01,708451
2008-05-01,712212
2008-06-01,708098
2008-07-01,714196
2008-08-01,709693
2008-09-01,711372
2008-10-01,719135
2008-11-01,714749
2008-12-01,697808
2009-01-01,683576
2009-02-01,695595
2009-03-01,701265
2009-04-01,681247
2009-05-01,675621
2009-06-01,667304
2009-07-01,658796
2009-08-01,641338
2009-09-01,624731
2009-10-01,608159
2009-11-01,594521
2009-12-01,578017
2010-01-01,558433
2010-02-01,551236
2010-03-01,558630
2010-04-01,565071
2010-05-01,560427
2010-06-01,560741
2010-07-01,544730
2010-08-01,552663
2010-09-01,558713
2010-10-01,553391
2010-11-01,555344
2010-12-01,540465
2011-01-01,508999
2011-02-01,508616
2011-03-01,517977
2011-04-01,515541
2011-05-01,520622
2011-06-01,538552
2011-07-01,534644
2011-08-01,551993
2011-09-01,555368
2011-10-01,548072
2011-11-01,557649
2011-12-01,566277
2012-01-01,571387
2012-02-01,570247
2012-03-01,570626
2012-04-01,576708
2012-05-01,581095
2012-06-01,582310
2012-07-01,579228
2012-08-01,577259
2012-09-01,574512
2012-10-01,575166
2012-11-01,569229
2012-12-01,566705
2013-01-01,552829
2013-02-01,558950
2013-03-01,545802
2013-04-01,556960
2013-05-01,560833
2013-06-01,568687
2013-07-01,583483
2013-08-01,587519
2013-09-01,592793
2013-10-01,599466
2013-11-01,605149
2013-12-01,613117
2014-01-01,613235
2014-02-01,618746
2014-03-01,616929
2014-04-01,626840
2014-05-01,625732
2014-06-01,628776
2014-07-01,637240
2014-08-01,637104
2014-09-01,634526
2014-10-01,654987
2014-11-01,648022
2014-12-01,649515
2015-01-01,654353
2015-02-01,661082
2015-03-01,675093
2015-04-01,698864
2015-05-01,712142
2015-06-01,726219
2015-07-01,715789
2015-08-01,725934
2015-09-01,719440
2015-10-01,706326
2015-11-01,703102
2015-12-01,708560
2016-01-01,708623
2016-02-01,713068
2016-03-01,724770
2016-04-01,723711
2016-05-01,728024
2016-06-01,745679
2016-07-01,742438
2016-08-01,743813
2016-09-01,751630
2016-10-01,746782
2016-11-01,764566
2016-12-01,761694
2017-01-01,735851
2017-02-01,738124
2017-03-01,737951
2017-04-01,731456
2017-05-01,741214
2017-06-01,733860
2017-07-01,728196
2017-08-01,726169
2017-09-01,730381
2017-10-01,737981
2017-11-01,737203
2017-12-01,742258
2018-01-01,757859
2018-02-01,772362
2018-03-01,766577
2018-04-01,775683
2018-05-01,779461
2018-06-01,769489
2018-07-01,771262
2018-08-01,782725
2018-09-01,769181
2018-10-01,767190
2018-11-01,753602
2018-12-01,764781
2019-01-01,771568
2019-02-01,789974
2019-03-01,799988
2019-04-01,827586
2019-05-01,829698
2019-06-01,837803
2019-07-01,852036
2019-08-01,858892
2019-09-01,865556
2019-10-01,864303
2019-11-01,874437
2019-12-01,872324
2020-01-01,884156
2020-02-01,884837
2020-03-01,881676
2020-04-01,858261
2020-05-01,861608
2020-06-01,860164
2020-07-01,850707
2020-08-01,838817
2020-09-01,837584
2020-10-01,838538
2020-11-01,835169
2020-12-01,837688
2021-01-01,838758
2021-02-01,821971
2021-03-01,832446
2021-04-01,828374
2021-05-01,824214
2021-06-01,819324
2021-07-01,821846
2021-08-01,821003
2021-09-01,809705
2021-10-01,818428
2021-11-01,832195
2021-12-01,828737
2022-01-01,835822
2022-02-01,841077
2022-03-01,839145
2022-04-01,840292
2022-05-01,839303
2022-06-01,856963
2022-07-01,880897
2022-08-01,892714
2022-09-01,918479
2022-10-01,934238
2022-11-01,970972
2022-12-01,965861
